Table,Column,,,
dim_community_discussion_posts,discussion_post_type,,,
dim_community_discussion_posts,discussion_post_status,,,
dim_community_discussions,community_discussions_key,,,
dim_community_memberships,community_memberships_key,,,
dim_community_memberships,community_membership_type,,,
dim_sponsorships,sponsorships_key,,,
dim_sponsorships,sponsorship_status,,,
dim_event_exhibits,event_exhibits_key,,,
dim_event_exhibits,event_exhibit_status,,,
dim_event_exhibits,event_exhibit_transaction_type,,,
dim_event_exhibit_purchases,event_exhibit_purchases_key,,,
dim_event_exhibit_purchases,event_exhibit_purchase_status,,,
dim_web_sessions,web_sessions_key,,,
dim_web_sessions,session_id,,,
dim_web_sessions,traffic_source_type,,,
dim_web_sessions,traffic_medium,,,
dim_web_sessions,traffic_source,,,
dim_web_sessions,hostname,,,
dim_web_pageviews,web_pageviews_key,,,
dim_web_pageviews,page_sequence,,,
dim_activities,activities_key,,,
dim_activities,activity_status,,,
dim_activities,activity_entity,,,
dim_individual,individual_key,,,
dim_individual,individual_id,,,
dim_individual,individual_last_name,,,
dim_individual,individual_first_name,,,
dim_individual,individual_job_function,,,
dim_individual,individual_job_level,,,
dim_individual,individual_status,,,
dim_individual,individual_company_key,,,
dim_individual,individual_geography_key,,,
dim_company,company_key,,,
dim_company,company_id,,,
dim_company,company_name,,,
dim_company,company_type,,,
dim_company,company_busines_area,,,
dim_company,company_status,,,
dim_company,company_geography_key,,,
dim_membership_type,membership_type,,,
dim_membership_type,membership_type_name,,,
dim_membership_type,membership_type_category,,,
dim_membership_type,membership_type_entity,,,
dim_product,product_key,,,
dim_product,product_code,,,
dim_product,product_name,,,
dim_product,product_type,,,
dim_product,product_status,,,
dim_event,event_key,,,
dim_event,event_code,,,
dim_event,event_name,,,
dim_event,event_type,,,
dim_event,event_status,,,
dim_event,event_location,,,
dim_event,event_start_date,,,
dim_event,event_end_date,,,
dim_sponsorship,sponsorship_key,,,
dim_sponsorship,sponsorship_code,,,
dim_sponsorship,sponsorship_name,,,
dim_sponsorship,sponsorship_type,,,
dim_sponsorship,sponsorship_level,,,
dim_sponsorship,sponsorship_status,,,
dim_exhibit,exhibit_key,,,
dim_exhibit,exhibit_code,,,
dim_exhibit,exhibit_name,,,
dim_exhibit,exhibit_type,,,
dim_exhibit,exhibit_status,,,
dim_exhibitor,exhibitor_key,,,
dim_exhibitor,exhibitor_id,,,
dim_exhibitor,exhibitor_name,,,
dim_exhibitor,exhibitor_type,,,
dim_exhibitor,exhibitor_busines_area,,,
dim_exhibitor,exhibitor_status,,,
dim_exhibitor,exhibitor_geography_key,,,
dim_sponsor,sponsor_key,,,
dim_sponsor,sponsor_id,,,
dim_sponsor,sponsor_name,,,
dim_sponsor,sponsor_type,,,
dim_sponsor,sponsor_busines_area,,,
dim_sponsor,sponsor_status,,,
dim_sponsor,sponsor_geography_key,,,
dim_campaign,campaign_key,,,
dim_campaign,campaign_code,,,
dim_campaign,campaign_name,,,
dim_campaign,campaign_type,,,
dim_campaign,campaign_status,,,
dim_email,email_key,,,
dim_email,email_code,,,
dim_email,email_name,,,
dim_email,email_type,,,
dim_email,email_subject,,,
dim_email,email_status,,,
dim_email,email_send_first_date,,,
dim_email,email_send_last_date,,,
dim_location,location_key,,,
dim_location,location_code,,,
dim_location,location_name,,,
dim_location,location_type,,,
dim_community,community_key,,,
dim_community,community_code,,,
dim_community,community_name,,,
dim_community,community_type,,,
dim_community,community_status,,,
dim_chapter,chapter_key,,,
dim_chapter,chapter_code,,,
dim_chapter,chapter_name,,,
dim_chapter,chapter_type,,,
dim_chapter,chapter_status,,,
dim_web_page,web_page_key,,,
dim_web_page,page_title,,,
dim_web_page,page_location_1,,,
dim_web_page,page_location_2,,,
dim_web_page,page_location_3,,,
dim_web_page,page_location_4,,,
dim_web_page,page_location_5,,,
dim_web_page,page_referrer,,,
dim_activity_level,activity_level_key,,,
dim_activity_level,activity_level_1,,,
dim_activity_level,activity_level_2,,,
dim_activity_level,activity_level_3,,,
dim_geography,geography_key,,,
dim_geography,See current,,,
dim_date,date_key,,,
dim_date,See current,,,
dim_time,time_key,,,
dim_time,See current,,,
dim_month,month_key,,,
dim_month,See current,,,
dim_year,year_key,,,
dim_year,"New, TBD",,,
